0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.8073217726397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.8073217726397,98.55491329479769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.71098265895954,99.18111753371869,99.47013487475915,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.95183044315993,98.94026974951831,99.61464354527938,99.95183044315993,0.0,0.0,0.0,0.0,0.0,0.0
99.61464354527938,99.32562620423893,99.27745664739885,98.41040462427746,99.61464354527938,0.0,0.0,0.0,0.0,0.0
99.47013487475915,99.75915221579962,99.61464354527938,100.0,99.71098265895954,98.50674373795762,0.0,0.0,0.0,0.0
99.90366088631984,99.56647398843931,99.27745664739885,99.13294797687861,98.89210019267823,99.71098265895954,99.95183044315993,0.0,0.0,0.0
99.56647398843931,97.83236994219652,98.41040462427746,98.79576107899807,99.56647398843931,96.96531791907515,99.27745664739885,99.27745664739885,0.0,0.0
99.66281310211946,97.92870905587668,99.22928709055877,98.45857418111753,94.41233140655106,98.45857418111753,99.85549132947978,98.3140655105973,98.36223506743738,0.0
