mean_test_score,mean_train_score,std_test_score,std_train_score,param_C,param_gamma,mean_fit_time
0.111,1.0,0.0005667636368939474,0.0,1,1,1.7368030548095703
0.112,1.0,0.0010962746166132988,0.0,10,1,1.7264030774434407
0.112,1.0,0.0010962746166132988,0.0,100,1,1.4352024396260579
0.251,0.26902847754865694,0.00035198282693469035,0.012506544937467005,1,0.0001,1.57040270169576
0.399,1.0,0.027839744742502632,0.0,1,0.1,1.6952030658721924
0.461,1.0,0.02470182742659882,0.0,10,0.1,1.6952030658721924
0.461,1.0,0.02470182742659882,0.0,100,0.1,1.5808028380076091
0.863,0.9034921431428394,0.014346875259744091,0.004462578723452945,10,0.0001,0.8840014934539795
0.865,0.9039986377017296,0.015660563042045546,0.0032745877429638474,1,0.001,0.8788015047709147
0.888,0.9764913536213985,0.005147906610635281,0.0037957584655380705,100,0.0001,0.4888009230295817
0.893,0.9799963758896967,0.011119527022155164,0.0014612255361229503,10,0.001,0.5252010027567545
0.896,1.0,0.023415887669471013,0.0,100,0.001,0.5200010140736898
0.917,0.9894999318412111,0.007931176512480573,2.6734095801777574e-05,1,0.01,0.8372014363606771
0.926,1.0,0.01039688889059203,0.0,10,0.01,0.8788015047709147
0.926,1.0,0.01039688889059203,0.0,100,0.01,0.8684015274047852
